distance_between,description,child,parent,do_not_evaluate
1,0-Acute abdomen,0-R10.0,0-R10,TRUE
1,0-Acute abdomen,0-R10.0,2-R10.0,TRUE
1,0-Pain localized to upper abdomen,0-R10.1,0-R10,TRUE
1,0-Pain localized to upper abdomen,0-R10.1,2-R10.1,TRUE
1,"0-Upper abdominal pain, unspecified",0-R10.10,0-R10.1,TRUE
1,"0-Upper abdominal pain, unspecified",0-R10.10,2-R10.10,TRUE
1,0-Right upper quadrant pain,0-R10.11,0-R10.1,TRUE
1,0-Right upper quadrant pain,0-R10.11,2-R10.11,TRUE
1,0-Left upper quadrant pain,0-R10.12,0-R10.1,TRUE
1,0-Left upper quadrant pain,0-R10.12,2-R10.12,TRUE
1,0-Epigastric pain,0-R10.13,0-R10.1,TRUE
1,0-Epigastric pain,0-R10.13,2-R10.13,TRUE
1,0-Pelvic and perineal pain,0-R10.2,0-R10,TRUE
1,0-Pelvic and perineal pain,0-R10.2,2-R10.2,TRUE
1,0-Pelvic and perineal pain unspecified side,0-R10.20,0-R10.2,TRUE
1,0-Pelvic and perineal pain unspecified side,0-R10.20,2-R10.20,TRUE
1,0-Pelvic and perineal pain right side,0-R10.21,0-R10.2,TRUE
1,0-Pelvic and perineal pain right side,0-R10.21,2-R10.21,TRUE
1,0-Pelvic and perineal pain left side,0-R10.22,0-R10.2,TRUE
1,0-Pelvic and perineal pain left side,0-R10.22,2-R10.22,TRUE
1,0-Pelvic and perineal pain bilateral,0-R10.23,0-R10.2,TRUE
1,0-Pelvic and perineal pain bilateral,0-R10.23,2-R10.23,TRUE
1,0-Suprapubic pain,0-R10.24,0-R10.2,TRUE
1,0-Suprapubic pain,0-R10.24,2-R10.24,TRUE
1,0-Pain localized to other parts of lower abdomen,0-R10.3,0-R10,TRUE
1,0-Pain localized to other parts of lower abdomen,0-R10.3,2-R10.3,TRUE
1,"0-Lower abdominal pain, unspecified",0-R10.30,0-R10.3,TRUE
1,"0-Lower abdominal pain, unspecified",0-R10.30,2-R10.30,TRUE
1,0-Right lower quadrant pain,0-R10.31,0-R10.3,TRUE
1,0-Right lower quadrant pain,0-R10.31,2-R10.31,TRUE
1,0-Left lower quadrant pain,0-R10.32,0-R10.3,TRUE
1,0-Left lower quadrant pain,0-R10.32,2-R10.32,TRUE
1,0-Periumbilical pain,0-R10.33,0-R10.3,TRUE
1,0-Periumbilical pain,0-R10.33,2-R10.33,TRUE
1,0-Other abdominal pain,0-R10.8,0-R10,TRUE
1,0-Other abdominal pain,0-R10.8,2-R10.8,TRUE
1,0-Abdominal tenderness,0-R10.81,0-R10.8,TRUE
1,0-Abdominal tenderness,0-R10.81,2-R10.81,TRUE
1,0-Right upper quadrant abdominal tenderness,0-R10.811,0-R10.81,TRUE
1,0-Right upper quadrant abdominal tenderness,0-R10.811,2-R10.811,TRUE
1,0-Left upper quadrant abdominal tenderness,0-R10.812,0-R10.81,TRUE
1,0-Left upper quadrant abdominal tenderness,0-R10.812,2-R10.812,TRUE
1,0-Right lower quadrant abdominal tenderness,0-R10.813,0-R10.81,TRUE
1,0-Right lower quadrant abdominal tenderness,0-R10.813,2-R10.813,TRUE
1,0-Left lower quadrant abdominal tenderness,0-R10.814,0-R10.81,TRUE
1,0-Left lower quadrant abdominal tenderness,0-R10.814,2-R10.814,TRUE
1,0-Periumbilic abdominal tenderness,0-R10.815,0-R10.81,TRUE
1,0-Periumbilic abdominal tenderness,0-R10.815,2-R10.815,TRUE
1,0-Epigastric abdominal tenderness,0-R10.816,0-R10.81,TRUE
1,0-Epigastric abdominal tenderness,0-R10.816,2-R10.816,TRUE
1,0-Generalized abdominal tenderness,0-R10.817,0-R10.81,TRUE
